,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0eFMbKCRw8KByXyWBw8WO7,https://open.spotify.com/track/0eFMbKCRw8KByXyWBw8WO7,Jung Kook,0.529,0.469,1.0,-6.967,0.0,0.0358,0.0899,1.53e-05,0.831,0.344,87.864
1,7eJMfftS33KTjuF7lTsMCx,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,Powfu,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026
2,2CbGuO0LtVvbh3umN3mDwM,https://open.spotify.com/track/2CbGuO0LtVvbh3umN3mDwM,Fujii Kaze,0.577,0.729,7.0,-7.113,1.0,0.221,0.394,0.000156,0.144,0.692,180.065
3,1JRNrJKTQhfvxII8kkIcAQ,https://open.spotify.com/track/1JRNrJKTQhfvxII8kkIcAQ,Fujii Kaze,0.629,0.585,9.0,-7.969,1.0,0.0572,0.43,0.0,0.357,0.296,81.973
4,57u1FaZlztApkcT5x5XNuD,https://open.spotify.com/track/57u1FaZlztApkcT5x5XNuD,Fujii Kaze,0.596,0.707,1.0,-6.825,1.0,0.049,0.111,0.0,0.0926,0.262,133.858
5,7i5pytF8KaId51lIzatwdg,https://open.spotify.com/track/7i5pytF8KaId51lIzatwdg,Fujii Kaze,0.699,0.78,11.0,-7.121,0.0,0.0505,0.0246,0.0,0.368,0.723,98.983
6,7r9v0CLTunOwlbvdOFFgZo,https://open.spotify.com/track/7r9v0CLTunOwlbvdOFFgZo,Fujii Kaze,0.517,0.861,11.0,-5.745,0.0,0.0644,0.0466,0.0,0.31,0.842,154.963
7,74Zrps4gc3qTF49oKpm6zF,https://open.spotify.com/track/74Zrps4gc3qTF49oKpm6zF,Fujii Kaze,0.609,0.57,9.0,-6.469,0.0,0.0303,0.00838,0.0,0.167,0.444,143.923
8,6AJppuCk5EE86paOdDI4yL,https://open.spotify.com/track/6AJppuCk5EE86paOdDI4yL,Fujii Kaze,0.727,0.563,7.0,-6.613,1.0,0.0272,0.0374,6.43e-05,0.311,0.588,99.035
9,0o9zmvc5f3EFApU52PPIyW,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,0.6,0.76,6.0,-6.124,0.0,0.0452,0.166,4.09e-05,0.189,0.519,158.078
10,5cpOWNmI84MuUCeciETO64,https://open.spotify.com/track/5cpOWNmI84MuUCeciETO64,Fujii Kaze,0.512,0.462,9.0,-8.285,0.0,0.0304,0.679,0.000216,0.101,0.228,114.966
11,6BhO28xuLVeaWKVnd1lbCJ,https://open.spotify.com/track/6BhO28xuLVeaWKVnd1lbCJ,Fujii Kaze,0.61,0.884,9.0,-5.579,1.0,0.0425,0.00185,0.0,0.342,0.808,132.044
12,26e8ujjSpBAHhIY2ymLUT1,https://open.spotify.com/track/26e8ujjSpBAHhIY2ymLUT1,Fujii Kaze,0.589,0.623,9.0,-5.926,1.0,0.0326,0.3,0.0,0.127,0.341,91.87
13,1KixkQVDUHggZMU9dUobgm,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm,Ava Max,0.614,0.934,9.0,-3.709,0.0,0.07,0.0697,0.0,0.121,0.436,116.001
14,2Gz6CxFe1GGiRRb8zFJHRv,https://open.spotify.com/track/2Gz6CxFe1GGiRRb8zFJHRv,Ava Max,0.592,0.643,9.0,-6.928,0.0,0.0505,0.296,0.0801,0.186,0.621,119.971
15,7a53HqqArd4b9NF4XAmlbI,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI,Ava Max,0.637,0.69,1.0,-4.057,0.0,0.0405,0.00786,0.0,0.124,0.457,129.857
16,4gPUnZW8IT1mmF9aj9NLF7,https://open.spotify.com/track/4gPUnZW8IT1mmF9aj9NLF7,Ava Max,0.683,0.641,3.0,-4.092,0.0,0.0329,0.0582,0.0,0.149,0.695,111.955
17,57jayqtClHRLIQ3mAFjvgZ,https://open.spotify.com/track/57jayqtClHRLIQ3mAFjvgZ,Ava Max,0.64,0.637,6.0,-5.228,1.0,0.0322,0.129,0.0,0.109,0.793,114.994
18,11OPriDpmUrTMTji52ta17,https://open.spotify.com/track/11OPriDpmUrTMTji52ta17,Ava Max,0.698,0.854,9.0,-3.84,0.0,0.0451,0.101,0.0,0.107,0.931,124.042
19,3p866VcBbuggDPXJLuc9hr,https://open.spotify.com/track/3p866VcBbuggDPXJLuc9hr,Ava Max,0.775,0.699,3.0,-4.273,0.0,0.0421,0.109,0.0,0.0328,0.865,115.0
20,1iatZzgryaJh79PNFq2bi8,https://open.spotify.com/track/1iatZzgryaJh79PNFq2bi8,Ava Max,0.59,0.698,9.0,-5.891,1.0,0.0372,0.0352,0.0,0.233,0.406,139.985
21,6SpVp6ttad3XJOsjKBZwaq,https://open.spotify.com/track/6SpVp6ttad3XJOsjKBZwaq,Ava Max,0.665,0.831,2.0,-4.472,0.0,0.0437,0.111,1.53e-06,0.0596,0.696,125.057
22,0TxOB9JSgYXjPVR6uWAyfM,https://open.spotify.com/track/0TxOB9JSgYXjPVR6uWAyfM,Ava Max,0.501,0.682,0.0,-4.664,0.0,0.0684,0.135,0.0,0.145,0.503,173.926
23,1Pmp486RrLRkaEkE3HFHXP,https://open.spotify.com/track/1Pmp486RrLRkaEkE3HFHXP,Ava Max,0.648,0.641,7.0,-5.521,1.0,0.0389,0.00565,3.63e-06,0.109,0.505,184.021
24,0UW7mAWldtWsfVrlFWYYWh,https://open.spotify.com/track/0UW7mAWldtWsfVrlFWYYWh,Ava Max,0.516,0.683,1.0,-4.849,0.0,0.0366,0.0383,5.57e-05,0.102,0.255,136.992
25,6O11gHhPCFNEFkEZYf3ilw,https://open.spotify.com/track/6O11gHhPCFNEFkEZYf3ilw,Ava Max,0.537,0.738,1.0,-5.557,1.0,0.038,0.0538,0.0,0.0622,0.466,96.81
26,2Xnv3GntqbBH1juvUYSpHG,https://open.spotify.com/track/2Xnv3GntqbBH1juvUYSpHG,Ava Max,0.681,0.657,6.0,-4.671,1.0,0.0432,0.0748,0.0,0.353,0.628,130.089
27,5iyZwawawLjHYpX4MxUKVF,https://open.spotify.com/track/5iyZwawawLjHYpX4MxUKVF,Ava Max,0.693,0.835,6.0,-3.242,1.0,0.0624,0.131,0.0,0.073,0.744,128.052
28,7DnAm9FOTWE3cUvso43HhI,https://open.spotify.com/track/7DnAm9FOTWE3cUvso43HhI,Ava Max,0.72,0.706,1.0,-4.719,1.0,0.0473,0.0684,0.0,0.166,0.62,133.002
29,58HvfVOeJY7lUuCqF0m3ly,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,0.41,0.611,4.0,-8.271,0.0,0.0467,0.0228,0.0,0.116,0.0899,185.727
30,4HBZA5flZLE435QTztThqH,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,Ariana Grande,0.597,0.45,8.0,-6.658,1.0,0.0418,0.223,0.0,0.382,0.537,178.765
31,47EiUVwUp4C9fGccaPuUCS,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,Bad Bunny,0.731,0.573,4.0,-10.059,0.0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
32,55ZcA6PazdlXjE1jO5GrzJ,https://open.spotify.com/track/55ZcA6PazdlXjE1jO5GrzJ,Halsey,0.663,0.531,7.0,-6.339,1.0,0.0827,0.137,0.0,0.146,0.366,125.014
33,66c7n8ZXmYQQeXyNVfiArc,https://open.spotify.com/track/66c7n8ZXmYQQeXyNVfiArc,Halsey,0.533,0.437,3.0,-7.659,0.0,0.162,0.885,0.0,0.106,0.48,143.263
34,2ufmtcIFdFpuUYBPXK5f67,https://open.spotify.com/track/2ufmtcIFdFpuUYBPXK5f67,Halsey,0.667,0.583,11.0,-5.127,0.0,0.0747,0.231,4.48e-05,0.181,0.187,92.043
35,7lidXGPXPYLNThITAOTlkK,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,Halsey,0.591,0.585,2.0,-6.35,1.0,0.0277,0.143,0.0,0.109,0.324,110.94
36,6BORJ0ZazxMBpM3cWg79Id,https://open.spotify.com/track/6BORJ0ZazxMBpM3cWg79Id,Halsey,0.509,0.265,2.0,-9.716,0.0,0.0344,0.746,1.08e-06,0.198,0.291,70.028
37,2sOOXgEGB7nhKO8mmc1GhI,https://open.spotify.com/track/2sOOXgEGB7nhKO8mmc1GhI,Halsey,0.406,0.368,10.0,-6.31,1.0,0.0296,0.784,0.0,0.354,0.707,157.885
38,35FjZytt5TukIgJD86UybL,https://open.spotify.com/track/35FjZytt5TukIgJD86UybL,Halsey,0.679,0.197,5.0,-7.078,1.0,0.0331,0.137,0.0,0.0887,0.559,79.504
39,1OfLNb6dQ9dra1B58iT9Ex,https://open.spotify.com/track/1OfLNb6dQ9dra1B58iT9Ex,Halsey,0.385,0.871,0.0,-4.604,0.0,0.0795,0.00906,0.0,0.579,0.538,189.76
40,6FZDfxM3a3UCqtzo5pxSLZ,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,Halsey,0.752,0.488,6.0,-7.05,1.0,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
41,42SOtYBdnfj9zEdZSlAq5k,https://open.spotify.com/track/42SOtYBdnfj9zEdZSlAq5k,Halsey,0.626,0.55,9.0,-5.105,0.0,0.029,0.051,0.0,0.118,0.123,133.976
42,6ZmwwHYtun94UOdFWWgdif,https://open.spotify.com/track/6ZmwwHYtun94UOdFWWgdif,Halsey,0.705,0.89,0.0,-4.356,1.0,0.0555,0.00947,0.0,0.14,0.45,94.013
43,1H3Okhf16ttAICZF7zgDko,https://open.spotify.com/track/1H3Okhf16ttAICZF7zgDko,Halsey,0.685,0.898,11.0,-5.796,1.0,0.186,0.243,0.000103,0.377,0.684,139.993
44,1ZoQVu9XBssJBdeKMgF2eV,https://open.spotify.com/track/1ZoQVu9XBssJBdeKMgF2eV,Halsey,0.55,0.732,0.0,-6.88,1.0,0.105,0.0864,0.0,0.0425,0.246,153.836
45,3jgHKbpswygyOMipFz06RQ,https://open.spotify.com/track/3jgHKbpswygyOMipFz06RQ,Halsey,0.399,0.224,11.0,-11.19,1.0,0.119,0.635,0.0,0.0836,0.172,170.795
