,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,4uUG5RXrOk84mYEfFvj3cK,https://open.spotify.com/track/4uUG5RXrOk84mYEfFvj3cK,David Guetta,0.561,0.965,7.0,-3.673,0.0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04
1,1xGmP8HasLB2Vcp0iBHeXP,https://open.spotify.com/track/1xGmP8HasLB2Vcp0iBHeXP,David Guetta,0.703,0.637,7.0,-4.435,0.0,0.0412,0.00108,0.01,0.0713,0.485,128.008
2,1Y3LN4zO1Edc2EluIoSPJN,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez,0.551,0.55,10.0,-5.339,1.0,0.0286,0.777,0.0,0.202,0.342,101.19
3,5xMw6qCcpd2gBXPGTegC4W,https://open.spotify.com/track/5xMw6qCcpd2gBXPGTegC4W,SZA,0.507,0.657,7.0,-7.356,0.0,0.233,0.669,6.97e-06,0.0947,0.506,119.159
4,3OHfY25tqY28d16oZczHc8,https://open.spotify.com/track/3OHfY25tqY28d16oZczHc8,SZA,0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993
5,6eT2V7nKXyMf47TwPbtgAD,https://open.spotify.com/track/6eT2V7nKXyMf47TwPbtgAD,SZA,0.651,0.647,1.0,-5.415,1.0,0.0654,0.437,0.175,0.205,0.345,152.069
6,2GAhgAjOhEmItWLfgisyOn,https://open.spotify.com/track/2GAhgAjOhEmItWLfgisyOn,SZA,0.698,0.546,0.0,-7.234,0.0,0.0559,0.425,0.00314,0.16,0.335,145.044
7,1eIXYZWEfJO3Na2LCCnIJE,https://open.spotify.com/track/1eIXYZWEfJO3Na2LCCnIJE,SZA,0.707,0.261,9.0,-10.139,0.0,0.0784,0.853,0.0,0.127,0.545,65.038
8,2CSRrnOEELmhpq8iaAi9cd,https://open.spotify.com/track/2CSRrnOEELmhpq8iaAi9cd,SZA,0.461,0.279,9.0,-11.776,0.0,0.0373,0.911,0.0,0.205,0.599,114.225
9,1TweDM3JC49LNeelLVg3yX,https://open.spotify.com/track/1TweDM3JC49LNeelLVg3yX,SZA,0.734,0.689,10.0,-6.454,0.0,0.0871,0.532,8.47e-05,0.322,0.705,149.579
10,4iZ4pt7kvcaH6Yo8UoZ4s2,https://open.spotify.com/track/4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,0.559,0.551,5.0,-7.231,1.0,0.132,0.141,0.0,0.11,0.392,143.008
11,4fnNBPN9W6AoOYSQS3FJxT,https://open.spotify.com/track/4fnNBPN9W6AoOYSQS3FJxT,SZA,0.724,0.68,5.0,-6.822,1.0,0.117,0.275,9.91e-05,0.11,0.777,159.919
12,2Sjx8DWZO5zaTyTAmgo2gY,https://open.spotify.com/track/2Sjx8DWZO5zaTyTAmgo2gY,SZA,0.428,0.439,5.0,-7.674,1.0,0.0591,0.57,0.0,0.153,0.418,150.007
13,4jTs7ny5eSRnKTzxdrFv5I,https://open.spotify.com/track/4jTs7ny5eSRnKTzxdrFv5I,SZA,0.466,0.676,8.0,-8.097,1.0,0.38,0.241,0.00318,0.224,0.333,81.227
14,4h5x3XHLVYFJaItKuO2rhy,https://open.spotify.com/track/4h5x3XHLVYFJaItKuO2rhy,SZA,0.624,0.433,6.0,-9.572,1.0,0.0467,0.837,0.0294,0.113,0.589,124.979
15,2e2AXpIiJpet5b4qg85Gh6,https://open.spotify.com/track/2e2AXpIiJpet5b4qg85Gh6,SZA,0.533,0.74,2.0,-5.767,1.0,0.0359,0.089,2.95e-06,0.337,0.465,89.934
16,5Y35SjAfXjjG0sFQ3KOxmm,https://open.spotify.com/track/5Y35SjAfXjjG0sFQ3KOxmm,SZA,0.358,0.284,7.0,-8.285,1.0,0.0285,0.805,0.0,0.183,0.276,99.796
17,4hTej08FutmriOs7S1hWWy,https://open.spotify.com/track/4hTej08FutmriOs7S1hWWy,SZA,0.791,0.458,1.0,-8.236,1.0,0.0673,0.0486,4.08e-05,0.106,0.772,150.046
18,6RQ5IwG7uADz9LDWliJGjU,https://open.spotify.com/track/6RQ5IwG7uADz9LDWliJGjU,SZA,0.604,0.199,0.0,-11.831,1.0,0.05,0.777,0.0,0.109,0.191,76.134
19,4rAg5bbrdZX00mXXhLvYXj,https://open.spotify.com/track/4rAg5bbrdZX00mXXhLvYXj,SZA,0.445,0.681,11.0,-7.558,1.0,0.0829,0.781,0.000789,0.386,0.351,127.541
20,74NI58MQexwZjNu1Gu6GjT,https://open.spotify.com/track/74NI58MQexwZjNu1Gu6GjT,SZA,0.612,0.549,2.0,-7.401,1.0,0.0833,0.672,0.000203,0.163,0.477,115.915
