,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0,0eFMbKCRw8KByXyWBw8WO7,0.529,0.469,1,-6.967,0,0.0358,0.0899,1.53e-05,0.831,0.344,87.864,['k-pop']
1,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,"['sad lo-fi', 'sad rap']"
2,2CbGuO0LtVvbh3umN3mDwM,0.577,0.729,7,-7.113,1,0.221,0.394,0.000156,0.144,0.692,180.065,['japanese teen pop']
3,1JRNrJKTQhfvxII8kkIcAQ,0.629,0.585,9,-7.969,1,0.0572,0.43,0.0,0.357,0.296,81.973,['japanese teen pop']
4,57u1FaZlztApkcT5x5XNuD,0.596,0.707,1,-6.825,1,0.049,0.111,0.0,0.0926,0.262,133.858,['japanese teen pop']
5,7i5pytF8KaId51lIzatwdg,0.699,0.78,11,-7.121,0,0.0505,0.0246,0.0,0.368,0.723,98.983,['japanese teen pop']
6,7r9v0CLTunOwlbvdOFFgZo,0.517,0.861,11,-5.745,0,0.0644,0.0466,0.0,0.31,0.842,154.963,['japanese teen pop']
7,74Zrps4gc3qTF49oKpm6zF,0.609,0.57,9,-6.469,0,0.0303,0.00838,0.0,0.167,0.444,143.923,['japanese teen pop']
8,6AJppuCk5EE86paOdDI4yL,0.727,0.563,7,-6.613,1,0.0272,0.0374,6.43e-05,0.311,0.588,99.035,['japanese teen pop']
9,0o9zmvc5f3EFApU52PPIyW,0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,['japanese teen pop']
10,5cpOWNmI84MuUCeciETO64,0.512,0.462,9,-8.285,0,0.0304,0.679,0.000216,0.101,0.228,114.966,['japanese teen pop']
11,6BhO28xuLVeaWKVnd1lbCJ,0.61,0.884,9,-5.579,1,0.0425,0.00185,0.0,0.342,0.808,132.044,['japanese teen pop']
12,26e8ujjSpBAHhIY2ymLUT1,0.589,0.623,9,-5.926,1,0.0326,0.3,0.0,0.127,0.341,91.87,['japanese teen pop']
13,1KixkQVDUHggZMU9dUobgm,0.614,0.934,9,-3.709,0,0.07,0.0697,0.0,0.121,0.436,116.001,['pop']
14,2Gz6CxFe1GGiRRb8zFJHRv,0.592,0.643,9,-6.928,0,0.0505,0.296,0.0801,0.186,0.621,119.971,['pop']
15,7a53HqqArd4b9NF4XAmlbI,0.637,0.69,1,-4.057,0,0.0405,0.00786,0.0,0.124,0.457,129.857,['pop']
16,4gPUnZW8IT1mmF9aj9NLF7,0.683,0.641,3,-4.092,0,0.0329,0.0582,0.0,0.149,0.695,111.955,['pop']
17,57jayqtClHRLIQ3mAFjvgZ,0.64,0.637,6,-5.228,1,0.0322,0.129,0.0,0.109,0.793,114.994,['pop']
18,11OPriDpmUrTMTji52ta17,0.698,0.854,9,-3.84,0,0.0451,0.101,0.0,0.107,0.931,124.042,['pop']
19,3p866VcBbuggDPXJLuc9hr,0.775,0.699,3,-4.273,0,0.0421,0.109,0.0,0.0328,0.865,115.0,['pop']
20,1iatZzgryaJh79PNFq2bi8,0.59,0.698,9,-5.891,1,0.0372,0.0352,0.0,0.233,0.406,139.985,['pop']
21,6SpVp6ttad3XJOsjKBZwaq,0.665,0.831,2,-4.472,0,0.0437,0.111,1.53e-06,0.0596,0.696,125.057,['pop']
22,0TxOB9JSgYXjPVR6uWAyfM,0.501,0.682,0,-4.664,0,0.0684,0.135,0.0,0.145,0.503,173.926,['pop']
23,1Pmp486RrLRkaEkE3HFHXP,0.648,0.641,7,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,184.021,['pop']
24,0UW7mAWldtWsfVrlFWYYWh,0.516,0.683,1,-4.849,0,0.0366,0.0383,5.57e-05,0.102,0.255,136.992,['pop']
25,6O11gHhPCFNEFkEZYf3ilw,0.537,0.738,1,-5.557,1,0.038,0.0538,0.0,0.0622,0.466,96.81,['pop']
26,2Xnv3GntqbBH1juvUYSpHG,0.681,0.657,6,-4.671,1,0.0432,0.0748,0.0,0.353,0.628,130.089,['pop']
27,5iyZwawawLjHYpX4MxUKVF,0.693,0.835,6,-3.242,1,0.0624,0.131,0.0,0.073,0.744,128.052,['pop']
28,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,['pop']
29,58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,['alt z']
30,4HBZA5flZLE435QTztThqH,0.597,0.45,8,-6.658,1,0.0418,0.223,0.0,0.382,0.537,178.765,['pop']
31,47EiUVwUp4C9fGccaPuUCS,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,"['reggaeton', 'trap latino', 'urbano latino']"
32,55ZcA6PazdlXjE1jO5GrzJ,0.663,0.531,7,-6.339,1,0.0827,0.137,0.0,0.146,0.366,125.014,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
33,66c7n8ZXmYQQeXyNVfiArc,0.533,0.437,3,-7.659,0,0.162,0.885,0.0,0.106,0.48,143.263,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
34,2ufmtcIFdFpuUYBPXK5f67,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
35,7lidXGPXPYLNThITAOTlkK,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
36,6BORJ0ZazxMBpM3cWg79Id,0.509,0.265,2,-9.716,0,0.0344,0.746,1.08e-06,0.198,0.291,70.028,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
37,2sOOXgEGB7nhKO8mmc1GhI,0.406,0.368,10,-6.31,1,0.0296,0.784,0.0,0.354,0.707,157.885,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
38,35FjZytt5TukIgJD86UybL,0.679,0.197,5,-7.078,1,0.0331,0.137,0.0,0.0887,0.559,79.504,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
39,1OfLNb6dQ9dra1B58iT9Ex,0.385,0.871,0,-4.604,0,0.0795,0.00906,0.0,0.579,0.538,189.76,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
40,6FZDfxM3a3UCqtzo5pxSLZ,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
41,42SOtYBdnfj9zEdZSlAq5k,0.626,0.55,9,-5.105,0,0.029,0.051,0.0,0.118,0.123,133.976,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
42,6ZmwwHYtun94UOdFWWgdif,0.705,0.89,0,-4.356,1,0.0555,0.00947,0.0,0.14,0.45,94.013,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
43,1H3Okhf16ttAICZF7zgDko,0.685,0.898,11,-5.796,1,0.186,0.243,0.000103,0.377,0.684,139.993,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
44,1ZoQVu9XBssJBdeKMgF2eV,0.55,0.732,0,-6.88,1,0.105,0.0864,0.0,0.0425,0.246,153.836,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
45,3jgHKbpswygyOMipFz06RQ,0.399,0.224,11,-11.19,1,0.119,0.635,0.0,0.0836,0.172,170.795,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
46,2Mfv5HaqnI18Q9JRv9hqnn,0.708,0.661,0,-6.543,0,0.0546,0.0396,0.000244,0.113,0.317,102.046,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
47,1ed6Wdjk7gkxI2lIYjAoJ2,0.642,0.317,9,-9.325,1,0.155,0.935,0.0,0.207,0.617,150.152,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
48,45bE4HXI0AwGZXfZtMp8JR,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,"['alt z', 'pop']"
49,2LiDZmGERLzjrtBTCofj2G,0.253,0.352,8,-11.509,1,0.0357,0.883,0.00191,0.0668,0.099,141.97,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
50,40rOlDoGejXXF4B0BYsjx8,0.845,0.583,9,-5.948,0,0.0773,0.114,0.000536,0.1,0.842,149.941,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
51,7jPN8R29pCxozomUtdlC7z,0.0,0.138,10,-23.307,0,0.0,0.964,0.0,0.0,0.0,0.0,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
52,0r9OkYadpBgYA2bkkrRSsI,0.705,0.487,0,-9.456,0,0.0587,0.0837,0.028,0.303,0.34,88.616,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
53,1cbAduwGVFsurbwDe57Uho,0.0,0.226,5,-21.272,1,0.0,0.936,0.0254,0.676,0.0,0.0,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
54,0RZLmpEzGR2NHite6rvS5H,0.903,0.529,8,-9.901,1,0.0623,0.105,0.00255,0.138,0.353,100.977,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
55,2MA6YoaFF7fnWqkuOAWjUg,0.715,0.438,8,-9.874,0,0.0575,0.12,0.000139,0.107,0.418,128.905,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
56,7MAaZgT2QNnITEwOMQq9Ac,0.553,0.354,4,-15.02,1,0.0489,0.976,0.674,0.305,0.298,87.814,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
57,0bx6v84HtmEYFRBAOvDTgk,0.851,0.663,7,-7.168,1,0.0532,0.0167,0.363,0.103,0.605,108.004,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
58,7s0FCUlKnSFjFPzcIJmkwo,0.649,0.553,11,-7.139,0,0.034,0.194,0.000553,0.178,0.322,149.004,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
59,7jbDqjzkpjfUytnqG6zxO3,0.394,0.278,1,-13.28,0,0.033,0.598,0.169,0.0689,0.121,106.989,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
60,5GWdbUP56UBrpkkWpitLTG,0.397,0.275,0,-13.43,1,0.0363,0.0438,0.156,0.437,0.122,119.86,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
61,26E2fb3lp8MUEHq1WagF5f,0.657,0.357,9,-10.922,0,0.0699,0.708,8.28e-06,0.0803,0.336,114.994,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
62,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
63,2FmYw5jOjsj5dHZdWK0vXq,0.407,0.039,2,-23.676,1,0.0518,0.987,0.000638,0.0341,0.367,110.774,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
64,1yOc6FBOVD6zBwOMxiSEEv,0.289,0.307,4,-16.036,1,0.0452,0.854,0.275,0.255,0.0477,96.516,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
65,3hxIUxnT27p5WcmjGUXNwx,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,['modern indie pop']
66,3cWmqvMwVQKDigWLSZ3w9h,0.773,0.612,8,-5.73,1,0.232,0.0398,0.0,0.142,0.381,149.999,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
67,0F13K9dwYH2zpTWiR8d628,0.693,0.434,4,-8.786,0,0.385,0.204,0.0,0.277,0.542,147.066,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
68,2lLG56qpLP3UbcLuzMvkWX,0.856,0.57,9,-4.486,1,0.286,0.00637,0.0,0.0984,0.155,154.967,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
69,4CYTQpr2jc4uBScYvpEK2w,0.923,0.562,1,-7.357,1,0.304,0.0213,0.0,0.0726,0.499,144.067,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
70,0cgD36xPIJBdKUNJRHYDgP,0.87,0.461,1,-5.786,1,0.201,0.00456,0.0,0.11,0.485,144.053,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
71,7zLMYtNJcabv4h4wBnjNQI,0.657,0.604,0,-6.045,1,0.0374,0.0213,0.0,0.156,0.122,73.933,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
72,1eMNW1HQjF1dbb4GtnmpaX,0.885,0.661,4,-5.062,0,0.141,0.165,0.0,0.334,0.436,140.028,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
73,6i6whmV36EJmxs5zFahMrb,0.719,0.852,0,-5.232,1,0.149,0.024,0.0,0.123,0.432,151.867,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
74,4txKMpsSfZRV6durPuHVq0,0.819,0.638,10,-4.831,0,0.226,0.031,0.000116,0.152,0.167,150.993,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
75,5uYqmEN6TAAE8ss8YmprNV,0.437,0.671,1,-4.985,1,0.122,0.00124,9.87e-06,0.136,0.0936,197.192,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
76,15JRvf02KKGHKgC31jrpuh,0.764,0.512,1,-6.814,1,0.3,0.00158,0.0,0.0899,0.586,81.541,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
77,4CzhtKifG867Lu5DNQVBSA,0.642,0.69,11,-5.101,1,0.261,0.00599,1.3e-06,0.322,0.641,164.075,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
78,7ejepEh5DJ79YI6owGRfkk,0.888,0.833,6,-6.546,0,0.0737,0.0631,0.0,0.106,0.948,130.054,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
79,78YTl0P96kBCBXUSzKoqAm,0.705,0.752,7,-6.87,1,0.095,0.0283,0.0,0.299,0.305,142.051,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
80,5fSZXFOZfPVW9gvnnG4ZVW,0.699,0.408,10,-7.916,0,0.352,0.0145,0.00155,0.123,0.139,76.444,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
81,3dl8bSF08LQfCf4T6CCksf,0.598,0.476,0,-3.673,1,0.0333,0.00584,0.0,0.265,0.0545,150.078,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
82,2iqHcRoOfLl1fXCf1bGO0J,0.691,0.756,8,-5.638,0,0.352,0.0117,0.0,0.257,0.396,144.188,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
83,1Bg2CNZw6S4e9cGWPmi0uI,0.891,0.628,1,-6.35,1,0.105,0.000674,0.0,0.119,0.04,131.06,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
84,29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
85,08dz3ygXyFur6bL7Au8u8J,0.622,0.946,7,-3.593,0,0.0534,0.044,0.0,0.0838,0.336,130.07,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
86,1BpKJw4RZxaFB88NE5uxXf,0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
87,7rbalRuIx7sIXFHYTphE0n,0.759,0.67,1,-5.188,0,0.0589,0.00471,0.0,0.0889,0.418,148.938,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
88,03rcC8SVxCa9UdY5qgkITe,0.815,0.762,2,-5.045,1,0.219,0.00821,0.0,0.337,0.317,140.092,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
89,1xVVYE1ahLotRpppJViVzs,0.733,0.703,11,-6.451,1,0.0906,0.205,1.62e-05,0.158,0.0966,141.047,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']"
90,3mC8VlVBwdVxCTq4cYZr64,0.875,0.813,7,-4.502,1,0.0579,0.00618,0.0,0.321,0.859,114.993,"['dance pop', 'pop', 'uk pop']"
91,1AVtceapuF36oZqI9gzp0o,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,"['dance pop', 'pop', 'uk pop']"
92,4GE0As8SVSjCMVYkRaaWwJ,0.469,0.785,5,-4.015,0,0.0664,0.133,1.55e-06,0.0931,0.79,89.719,"['dance pop', 'pop', 'uk pop']"
93,7toYVidBIpAmM8Ife3LGrP,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,"['dance pop', 'pop', 'uk pop']"
94,1dI77VhaLcQSgQLSnIs03D,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,"['dance pop', 'pop', 'uk pop']"
95,5Pc594FhDA2Fa2prE75GT0,0.906,0.474,1,-6.124,1,0.194,0.0311,5.5e-06,0.286,0.656,106.976,"['dance pop', 'pop', 'uk pop']"
96,2MUKw7zEirXqdZZ3xC4hOf,0.627,0.69,10,-5.396,0,0.139,0.033,0.0,0.0742,0.627,122.053,"['dance pop', 'pop', 'uk pop']"
97,1imMjt1YGNebtrtTAprKV7,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,"['dance pop', 'pop', 'uk pop']"
98,59CrwNtNqzOmODXRxwaknc,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,"['dance pop', 'pop', 'uk pop']"
99,5idsEzxjeekla54j0jHYUE,0.68,0.701,5,-5.001,1,0.0917,0.138,0.000191,0.168,0.649,94.06,"['dance pop', 'pop', 'uk pop']"
100,2F5nK70URbVjwao6lRwX0P,0.768,0.486,3,-5.954,1,0.0353,0.408,0.0,0.098,0.519,125.021,"['dance pop', 'pop', 'uk pop']"
101,5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,"['dance pop', 'pop', 'uk pop']"
102,3F1P0QzdXtBz0MXy7KIO5w,0.868,0.693,6,-7.052,0,0.181,0.0597,0.00399,0.106,0.396,114.999,"['dance pop', 'pop', 'uk pop']"
103,3ko9jEHNt4O5fjKN65ULJp,0.499,0.462,0,-5.308,1,0.0312,0.801,0.0,0.0946,0.599,127.698,['pop']
104,6Im9k8u9iIzKMrmV7BWtlF,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,['pop']
105,5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,10,-5.664,0,0.0652,0.0681,0.0,0.166,0.661,116.965,['pop']
106,7Dx9Z6Aon1qPS2N0rHSWTe,0.719,0.607,8,-5.156,1,0.165,0.08,0.0,0.125,0.464,128.006,['pop']
107,7E1jVNoWuemqUryI4FxsVD,0.411,0.522,0,-7.295,1,0.0981,0.519,0.0,0.398,0.382,88.332,['pop']
108,2IKJtXeR5UsaUjZB46fTOK,0.739,0.516,0,-7.154,1,0.0539,0.67,0.0,0.151,0.434,120.109,['pop']
109,14gkWVFMwdxBMyqBw1wmIg,0.552,0.599,1,-5.75,0,0.0404,0.0703,0.0,0.0986,0.0916,161.884,['pop']
110,6u7gmPOz7pzzaeR9xSBpsR,0.686,0.526,0,-6.842,1,0.0374,0.0815,7.75e-06,0.144,0.372,92.013,['pop']
111,0sci7ppTZFm4mjcH3nu8yO,0.772,0.506,6,-6.558,0,0.139,0.0814,1.1e-05,0.182,0.456,127.894,['pop']
112,1whfVLMKWqAX3uk97VXsNN,0.688,0.455,11,-8.632,0,0.199,0.186,0.0,0.0794,0.557,87.865,['pop']
113,6NYtLvyThMT0oALFdJFdzq,0.688,0.573,10,-5.03,0,0.208,0.0686,0.0,0.0749,0.553,110.034,['pop']
114,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,['pop']
115,0q85C1JiECyYIQthz1posA,0.624,0.672,0,-5.334,1,0.106,0.0967,0.0,0.155,0.26,159.852,['pop']
116,3UoULw70kMsiVXxW0L3A33,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,['pop']
117,0Jlcvv8IykzHaSmj49uNW8,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-06,0.108,0.172,139.883,['pop']
118,4R2kfaDFhslZEMJqAFNpdd,0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,['pop']
119,2Eeur20xVqfUoM3Q7EFPFt,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,['pop']
120,4pvb0WLRcMtbPGmtejJJ6y,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,['pop']
121,1MgV7FIyNxIG7WzMRJV5HC,0.456,0.263,0,-10.63,1,0.0332,0.806,0.0,0.0749,0.111,129.86,['pop']
122,0ZNU020wNYvgW84iljPkPP,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,['pop']
123,6KJqZcs9XDgVck7Lg9QOTC,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-05,0.091,0.415,94.926,['pop']
124,3hUxzQpSfdDqwM3ZTFQY0K,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,['pop']
125,7kt9e9LFSpN1zQtYEl19o1,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-05,0.171,0.412,135.886,['pop']
126,2NmsngXHeC1GQ9wWrzhOMf,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,['pop']
127,6VsvKPJ4xjVNKpI8VVZ3SV,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,['pop']
128,2QDyYdZyhlP2fp79KZX8Bi,0.592,0.699,3,-8.995,1,0.0471,0.655,1.68e-05,0.114,0.506,141.916,['pop']
129,08fa9LFcFBTcilB3iq2e2A,0.354,0.267,1,-13.69,1,0.0281,0.731,0.000402,0.0858,0.113,94.219,['pop']
130,5kI4eCXXzyuIUXjQra0Cxi,0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,['pop']
131,7MbT4I8qGntX4fMdqMQgke,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,['pop']
132,6MWoRt97mnSTXZhu3ggi9C,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-06,0.133,0.429,118.819,['pop']
133,6b5P51m8xx2XA6U7sdNZ5E,0.218,0.652,4,-7.953,0,0.0641,0.033,0.111,0.172,0.0599,65.375,"['canadian contemporary r&b', 'canadian pop', 'pop']"
134,2K9Ovn1o2bTGqbsABGC6m3,0.638,0.863,4,-5.221,0,0.132,0.052,5.46e-05,0.685,0.226,120.077,"['canadian contemporary r&b', 'canadian pop', 'pop']"
135,6kWxIqQDsKFYCJGbU4AjCX,0.467,0.608,10,-7.847,1,0.0707,0.0909,8.83e-05,0.125,0.108,80.957,"['canadian contemporary r&b', 'canadian pop', 'pop']"
136,4BGZF4oLbTL0pWm7C18pbv,0.504,0.498,0,-8.24,1,0.0499,0.131,0.0,0.0929,0.196,87.221,"['canadian contemporary r&b', 'canadian pop', 'pop']"
137,3WlbeuhfRSqU7ylK2Ui5U7,0.55,0.611,0,-7.475,1,0.137,0.162,6.88e-05,0.121,0.243,148.062,"['canadian contemporary r&b', 'canadian pop', 'pop']"
138,1sOW4PuG5X3Ie3EXUhAopJ,0.404,0.524,5,-8.996,0,0.0593,0.0456,0.00316,0.199,0.168,145.74,"['canadian contemporary r&b', 'canadian pop', 'pop']"
139,6bnF93Rx87YqUBLSgjiMU8,0.537,0.746,10,-5.507,0,0.15,0.0236,1.01e-06,0.156,0.252,170.062,"['canadian contemporary r&b', 'canadian pop', 'pop']"
140,3orEOtd8CPL8GFlpRpKuoE,0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,"['canadian contemporary r&b', 'canadian pop', 'pop']"
141,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,"['canadian contemporary r&b', 'canadian pop', 'pop']"
142,7szuecWAPwGoV1e5vGu8tl,0.667,0.719,7,-5.371,0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021,"['canadian contemporary r&b', 'canadian pop', 'pop']"
143,5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,"['canadian contemporary r&b', 'canadian pop', 'pop']"
144,40U8d12pC5UHqmHwXjHjjl,0.555,0.619,0,-7.918,1,0.0314,0.0323,0.000224,0.0917,0.141,95.032,"['canadian contemporary r&b', 'canadian pop', 'pop']"
145,2p8IUWQDrpjuFltbdgLOag,0.664,0.572,5,-6.099,0,0.0305,0.0811,0.00604,0.121,0.143,108.959,"['canadian contemporary r&b', 'canadian pop', 'pop']"
146,2BcnxwxBuar5wjCaLqm5N3,0.245,0.394,0,-9.887,0,0.0374,0.423,2.9e-05,0.093,0.148,115.233,"['canadian contemporary r&b', 'canadian pop', 'pop']"
147,6zrJLhslleCHby0wbUnvVy,0.875,0.813,7,-4.502,1,0.0579,0.00618,0.0,0.321,0.859,114.993,"['dance pop', 'pop', 'uk pop']"
148,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,"['dance pop', 'pop', 'uk pop']"
149,2nMOodYNHBAQ3Kc1QNimZU,0.469,0.785,5,-4.015,0,0.0664,0.133,1.55e-06,0.0931,0.79,89.719,"['dance pop', 'pop', 'uk pop']"
150,3AzjcOeAmA57TIOr9zF1ZW,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,"['dance pop', 'pop', 'uk pop']"
151,39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014,"['dance pop', 'pop', 'uk pop']"
152,6DXZiYUbrYgrVIhfX3U9Z2,0.906,0.474,1,-6.124,1,0.194,0.0311,5.5e-06,0.286,0.656,106.976,"['dance pop', 'pop', 'uk pop']"
153,1nYeVF5vIBxMxfPoL0SIWg,0.627,0.69,10,-5.396,0,0.139,0.033,0.0,0.0742,0.627,122.053,"['dance pop', 'pop', 'uk pop']"
154,4rPkN1FMzQyFNP9cLUGIIB,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,"['dance pop', 'pop', 'uk pop']"
155,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39e-06,0.349,0.467,113.011,"['dance pop', 'pop', 'uk pop']"
156,6uAFJ75WDAoAPyCWJAtvks,0.68,0.701,5,-5.001,1,0.0917,0.138,0.000191,0.168,0.649,94.06,"['dance pop', 'pop', 'uk pop']"
157,0vQcyuMEfRBd21ojZ62N2L,0.768,0.486,3,-5.954,1,0.0353,0.408,0.0,0.098,0.519,125.021,"['dance pop', 'pop', 'uk pop']"
